商品コード,商品名,商品名（前）,サイズ,商品+サイズ,カテゴリ,販売定価,消費税込み,FC卸,FC利益,FC利益率,FC原価率,在庫数,商品画像,期,商品名+サイズ+期,商品名+期,商品名+期 (1),親レコード
,女_レッグ黒_M,女　レッグ,ウエアM,女　レッグ_ウエアM,ウエア,3600,"¥3,960",1910,"¥1,690",47%,53%,,,0期,女　レッグ_ウエアM_0期,女_レッグ黒_M+0期,女_レッグ黒_M+0期,
,女_レッグ白_M,女　レッグ,ウエアM,女　レッグ_ウエアM,ウエア,3600,"¥3,960",1910,"¥1,690",47%,53%,,,0期,女　レッグ_ウエアM_0期,女_レッグ白_M+0期,女_レッグ白_M+0期,
,女_レッグ黒_L,女　レッグ,ウエアL,女　レッグ_ウエアL,ウエア,3600,"¥3,960",1910,"¥1,690",47%,53%,,,0期,女　レッグ_ウエアL_0期,女_レッグ黒_L+0期,女_レッグ黒_L+0期,
,女_レッグ白_L,女　レッグ,ウエアL,女　レッグ_ウエアL,ウエア,3600,"¥3,960",1910,"¥1,690",47%,53%,,,0期,女　レッグ_ウエアL_0期,女_レッグ白_L+0期,女_レッグ白_L+0期,
,女_レッグ黒_M,女　レッグ,ウエアM,女　レッグ_ウエアM,ウエア,3600,"¥3,960",2090,"¥1,510",42%,58%,,,0.5期,女　レッグ_ウエアM_0.5期,女_レッグ黒_M+0.5期,女_レッグ黒_M+0.5期,
,女_レッグ白_M,女　レッグ,ウエアM,女　レッグ_ウエアM,ウエア,3600,"¥3,960",2090,"¥1,510",42%,58%,,,0.5期,女　レッグ_ウエアM_0.5期,女_レッグ白_M+0.5期,女_レッグ白_M+0.5期,
,女_レッグ黒_L,女　レッグ,ウエアL,女　レッグ_ウエアL,ウエア,3600,"¥3,960",2090,"¥1,510",42%,58%,,,0.5期,女　レッグ_ウエアL_0.5期,女_レッグ黒_L+0.5期,女_レッグ黒_L+0.5期,
,女_レッグ白_L,女　レッグ,ウエアL,女　レッグ_ウエアL,ウエア,3600,"¥3,960",2090,"¥1,510",42%,58%,,,0.5期,女　レッグ_ウエアL_0.5期,女_レッグ白_L+0.5期,女_レッグ白_L+0.5期,
,ペット 14cm~30cm_,ペット 14cm~30cm,,ペット 14cm~30cm_,ペット,5000,"¥5,500",1494,"¥3,506",70%,30%,,,0期,ペット 14cm~30cm__0期,ペット 14cm~30cm_+0期,ペット 14cm~30cm_+0期,
,ペット 14cm~30cm_,ペット 14cm~30cm,,ペット 14cm~30cm_,ペット,5000,"¥5,500",1744,"¥3,256",65%,35%,,,0.5期,ペット 14cm~30cm__0.5期,ペット 14cm~30cm_+0.5期,ペット 14cm~30cm_+0.5期,
,ペット 31cm~,ペット 31cm~,,ペット 31cm~_,ペット,6000,"¥6,600",1794,"¥4,206",70%,30%,,,0期,ペット 31cm~__0期,ペット 31cm~+0期,ペット 31cm~+0期,
,ペット 31cm~,ペット 31cm~,,ペット 31cm~_,ペット,6000,"¥6,600",2094,"¥3,906",65%,35%,,,0.5期,ペット 31cm~__0.5期,ペット 31cm~+0.5期,ペット 31cm~+0.5期,
,ペットスプレー,ペットスプレー,,ペットスプレー_,ペット,4400,"¥4,840",1220,"¥3,180",72%,28%,,,0期,ペットスプレー__0期,ペットスプレー+0期,ペットスプレー+0期,
,ペットスプレー,ペットスプレー,,ペットスプレー_,ペット,4400,"¥4,840",1440,"¥2,960",67%,33%,,,0.5期,ペットスプレー__0.5期,ペットスプレー+0.5期,ペットスプレー+0.5期,
,コーティング,コーティング,,コーティング_,コーティング剤,150000,"¥165,000",34885,"¥115,115",77%,23%,,,0期,コーティング__0期,コーティング+0期,コーティング+0期,
,コーティング,コーティング,,コーティング_,コーティング剤,150000,"¥165,000",42385,"¥107,615",72%,28%,,,0.5期,コーティング__0.5期,コーティング+0.5期,コーティング+0.5期,
,紙コップ20個入り,紙コップ20個入り,,紙コップ20個入り_,その他,4400,"¥4,840",1531,"¥2,869",65%,35%,,,0期,紙コップ20個入り__0期,紙コップ20個入り+0期,紙コップ20個入り+0期,
,紙コップ20個入り,紙コップ20個入り,,紙コップ20個入り_,その他,4400,"¥4,840",1731,"¥2,669",61%,39%,,,0.5期,紙コップ20個入り__0.5期,紙コップ20個入り+0.5期,紙コップ20個入り+0.5期,
,玉澤スプレー,玉澤スプレー,,玉澤スプレー_,その他,3000,"¥3,300",2310,¥690,23%,77%,,,0期,玉澤スプレー__0期,玉澤スプレー+0期,玉澤スプレー+0期,
,玉澤スプレー,玉澤スプレー,,玉澤スプレー_,その他,3000,"¥3,300",2310,¥690,23%,77%,,,0.5期,玉澤スプレー__0.5期,玉澤スプレー+0.5期,玉澤スプレー+0.5期,
