商品コード,商品名,商品名（前）,サイズ,商品+サイズ,カテゴリ,販売定価,消費税込み,FC卸,FC利益,FC利益率,FC原価率,在庫数,商品画像,期,商品名+サイズ+期,商品名+期,商品名+期 (1),親レコード
,【完成プラン】ネックレス青_45㌢,ネックレス青,ネックレス45㌢,ネックレス青_ネックレス45㌢,アクセサリー,5500,"¥6,050",1692,"¥3,808",69%,31%,,,0期,ネックレス青_ネックレス45㌢_0期,【完成プラン】ネックレス青_45㌢+0期,【完成プラン】ネックレス青_45㌢+0期,
,【製造プラン】ネックレス青_45㌢,ネックレス青,ネックレス45㌢,ネックレス青_ネックレス45㌢,アクセサリー,5500,"¥6,050",1592,"¥3,908",71%,29%,,,0期,ネックレス青_ネックレス45㌢_0期,【製造プラン】ネックレス青_45㌢+0期,【製造プラン】ネックレス青_45㌢+0期,
,【完成プラン】ネックレス青_50㌢,ネックレス青,ネックレス50㌢,ネックレス青_ネックレス50㌢,アクセサリー,5500,"¥6,050",1692,"¥3,808",69%,31%,,,0期,ネックレス青_ネックレス50㌢_0期,【完成プラン】ネックレス青_50㌢+0期,【完成プラン】ネックレス青_50㌢+0期,
,【製造プラン】ネックレス青_50㌢,ネックレス青,ネックレス50㌢,ネックレス青_ネックレス50㌢,アクセサリー,5500,"¥6,050",1592,"¥3,908",71%,29%,,,0期,ネックレス青_ネックレス50㌢_0期,【製造プラン】ネックレス青_50㌢+0期,【製造プラン】ネックレス青_50㌢+0期,
,【完成プラン】ネックレス青_60㌢,ネックレス青,ネックレス60㌢,ネックレス青_ネックレス60㌢,アクセサリー,5800,"¥6,380",1774,"¥4,026",69%,31%,,,0期,ネックレス青_ネックレス60㌢_0期,【完成プラン】ネックレス青_60㌢+0期,【完成プラン】ネックレス青_60㌢+0期,
,【製造プラン】ネックレス青_60㌢,ネックレス青,ネックレス60㌢,ネックレス青_ネックレス60㌢,アクセサリー,5800,"¥6,380",1674,"¥4,126",71%,29%,,,0期,ネックレス青_ネックレス60㌢_0期,【製造プラン】ネックレス青_60㌢+0期,【製造プラン】ネックレス青_60㌢+0期,
,【完成プラン】ネックレス青_45㌢,ネックレス青,ネックレス45㌢,ネックレス青_ネックレス45㌢,アクセサリー,5500,"¥6,050",1967,"¥3,533",64%,36%,,,0.5期,ネックレス青_ネックレス45㌢_0.5期,【完成プラン】ネックレス青_45㌢+0.5期,【完成プラン】ネックレス青_45㌢+0.5期,
,【製造プラン】ネックレス青_45㌢,ネックレス青,ネックレス45㌢,ネックレス青_ネックレス45㌢,アクセサリー,5500,"¥6,050",1867,"¥3,633",66%,34%,,,0.5期,ネックレス青_ネックレス45㌢_0.5期,【製造プラン】ネックレス青_45㌢+0.5期,【製造プラン】ネックレス青_45㌢+0.5期,
,【完成プラン】ネックレス青_50㌢,ネックレス青,ネックレス50㌢,ネックレス青_ネックレス50㌢,アクセサリー,5500,"¥6,050",1967,"¥3,533",64%,36%,,,0.5期,ネックレス青_ネックレス50㌢_0.5期,【完成プラン】ネックレス青_50㌢+0.5期,【完成プラン】ネックレス青_50㌢+0.5期,
,【製造プラン】ネックレス青_50㌢,ネックレス青,ネックレス50㌢,ネックレス青_ネックレス50㌢,アクセサリー,5500,"¥6,050",1867,"¥3,633",66%,34%,,,0.5期,ネックレス青_ネックレス50㌢_0.5期,【製造プラン】ネックレス青_50㌢+0.5期,【製造プラン】ネックレス青_50㌢+0.5期,
